WKT,name,group,
"POINT (-0.1743137 51.5014157)",Embassy of Afghanistan in London,Consulate,
"POINT (-0.1439899 51.4906645)",Embassy of Albania,Consulate,
"POINT (-0.1425569 51.518272)",Embassy of Algeria,Consulate,
"POINT (-0.2628305 51.5216631)",Consulate General of Algeria,Consulate,
"POINT (-0.1580366 51.5192651)",Angola Embassy,Consulate,
"POINT (-0.12959 51.5184586)",Consulate of Angola,Consulate,
"POINT (-0.1652455 51.5189974)",High Commission for Antigua and Barbuda,Consulate,
"POINT (-0.1487443 51.5124424)",Embassy of Argentina,Consulate,
"POINT (-0.1339364 51.5069008)",Embassy of Armenia,Consulate,
"POINT (-0.1152821 51.5128277)",Australian High Commission,Consulate,
"POINT (-0.1551423 51.4981957)",Embassy of Austria,Consulate,
"POINT (-0.206856 51.50634429999999)",Embassy of Azerbaijan,Consulate,
"POINT (-0.1486232 51.5071733)","High Commission of The Bahamas, London",Consulate,
"POINT (-0.1524849 51.4984411)","Embassy of Bahrain, London",Consulate,
"POINT (-0.1799537 51.49855489999999)","Bangladesh High Commission, London",Consulate,
"POINT (-0.1303929 51.5170332)",Barbados High Commission,Consulate,
"POINT (-0.186785 51.50161689999999)",Embassy of Belarus,Consulate,
"POINT (-0.1531615 51.5009881)",Embassy of Belgium,Consulate,
"POINT (-0.1652195 51.519)","High Commission of Belize, London",Consulate,
"POINT (-0.151118 51.497035)",Embassy of Bolivia,Consulate,
"POINT (-0.1902379 51.4952565)",Embassy of Bosnia and Herzegovina,Consulate,
"POINT (-0.1491377 51.5150198)","High Commission of Botswana, London",Consulate,
"POINT (-0.1308425 51.5075171)",Embassy of Brazil,Consulate,
"POINT (-0.1548937 51.49850989999999)",Brunei Darussalam High Commission,Consulate,
"POINT (-0.1795568 51.4999859)",Embassy of the Republic of Bulgaria,Consulate,
"POINT (-0.1282751 51.50720510000001)",Embassy of Burundi,Consulate,
"POINT (-0.2213944 51.5455482)",Royal Embassy of Cambodia,Consulate,
"POINT (-0.2089867 51.5055571)",Cameroon High Commission London,Consulate,
"POINT (-0.1292584 51.5080947)",High Commission of Canada in the United Kingdom,Consulate,
"POINT (-0.1314282 51.5006631)",Embassy of Chile,Consulate,
"POINT (-0.1456637 51.521097)",Embassy of the People's Republic of China,Consulate,
"POINT (-0.1613492 51.499057)",Embassy of Colombia,Consulate,
"POINT (-0.1454105 51.52019319999999)",General Consulate of Colombia,Consulate,
"POINT (-0.1203324 51.5294859)",Embassy of the Democratic Republic of the Congo,Consulate,
"POINT (-0.1471343 51.5137696)",Embassy of Costa Rica,Consulate,
"POINT (-0.1474484 51.4935439)",Embassy of Côte d'Ivoire,Consulate,
"POINT (-0.1412656 51.5232249)",Embassy of Croatia,Consulate,
"POINT (-0.1254651 51.51623439999999)",Embassy of Cuba,Consulate,
"POINT (-0.1365682 51.5074822)",High Commission Of The Republic Of Cyprus & Consulate-General,Consulate,
"POINT (-0.193483 51.509387)",Embassy of the Czech Republic,Consulate,
"POINT (-0.1594465 51.4978181)",Royal Danish Embassy,Consulate,
"POINT (-0.1869473 51.4913877)",Dominica High Commission,Consulate,
"POINT (-0.1819601 51.4949324)",Embassy of the Dominican Republic,Consulate,
"POINT (-0.1612775 51.4990055)",Embassy of Ecuador,Consulate,
"POINT (-0.151983 51.5081545)",Embassy of Egypt,Consulate,
"POINT (-0.1601838 51.5233856)",Embassy of El Salvador,Consulate,
"POINT (-0.1396975 51.5064228)",Embassy of the Republic of Equatorial Guinea,Consulate,
"POINT (-0.1072979 51.5329404)",Embassy of Eritrea in United Kingdom & Ireland,Consulate,
"POINT (-0.1827837 51.498819)",Embassy of Estonia,Consulate,
"POINT (-0.1400389 51.4995059)",High Commission of Eswatini,Consulate,
"POINT (-0.1724834 51.5015581)","Embassy of Ethiopia, London",Consulate,
"POINT (-0.18168 51.5007741)","High Commission of Fiji, London",Consulate,
"POINT (-0.1542477 51.4975712)",Embassy of Finland,Consulate,
"POINT (-0.1582432 51.5024337)","Embassy of France, London",Consulate,
"POINT (-0.180968 51.4977518)",Embassy of Gabon,Consulate,
"POINT (-0.1875677 51.5017799)",The Gambia High Commission,Consulate,
"POINT (-0.1359575 51.488754)",Embassy of Georgia,Consulate,
"POINT (-0.1540637 51.4980574)",Embassy of Germany,Consulate,
"POINT (-0.1552442 51.4988971)",Ghana High Commission,Consulate,
"POINT (-0.2045194 51.505513)",Embassy of Greece in London,Consulate,
"POINT (-0.1154891 51.5192431)",High Commission for Grenada,Consulate,
"POINT (-0.1935044 51.5150776)",Embassy of Guatemala,Consulate,
"POINT (-0.1661886 51.518467)",Embassy of Guinea,Consulate,
"POINT (-0.1920171 51.5101065)",Guyana High Commission,Consulate,
"POINT (-0.1229148 51.51802679999999)",The Embassy of Republic of Haiti,Consulate,
"POINT (-0.1571121 51.5219803)",Embassy of Honduras,Consulate,
"POINT (-0.1526486 51.4973202)",Embassy of Hungary - Magyarország Nagykövetsége London,Consulate,
"POINT (-0.1593515 51.4977101)",Embassy of Iceland,Consulate,
"POINT (-0.1180387 51.5126545)",High Commission of India,Consulate,
"POINT (-0.1309503 51.49695209999999)",Embassy of the Republic of Indonesia,Consulate,
"POINT (-0.1723464 51.5014793)",Embassy of The Islamic Republic of Iran,Consulate,
"POINT (-0.1802358 51.4994162)",Embassy of the Republic of Iraq,Consulate,
"POINT (-0.1497937 51.5003908)",Embassy of Ireland,Consulate,
"POINT (-0.1896974 51.5032085)",Embassy of Israel,Consulate,
"POINT (-0.1417621 51.4996447)",Embassy of Italy,Consulate,
"POINT (-0.1747822 51.5001664)",High Commission of Jamaica,Consulate,
"POINT (-0.1459767 51.5053247)",Embassy of Japan in the UK,Consulate,
"POINT (-0.1978237 51.5020505)",Embassy of the Hashemite Kingdom of Jordan in London,Consulate,
"POINT (-0.1310208 51.507603)",Embassy of Kazakhstan,Consulate,
"POINT (-0.1456521 51.5206963)",Kenya High Commission,Consulate,
"POINT (-0.1362604 51.49800519999999)",Embassy of the Republic of Korea in the UK,Consulate,
"POINT (-0.1149773 51.5219549)",Embassy of Republic of Kosovo in London - Ambasada e Republikës së Kosovës në Londër,Consulate,
"POINT (-0.1587805 51.5024743)",Embassy of Kuwait,Consulate,
"POINT (-0.1584145 51.5198811)",Embassy of Kyrgyzstan,Consulate,
"POINT (-0.1843777 51.5133081)",Embassy of Laos,Consulate,
"POINT (-0.1534598 51.522415)",Embassy of Latvia,Consulate,
"POINT (-0.1643745 51.52137579999999)",Latvian Consulate,Consulate,
"POINT (-0.1919979 51.5079416)",Embassy of Lebanon,Consulate,
"POINT (-0.1554341 51.4976801)",High Commission of the Kingdom of Lesotho,Consulate,
"POINT (-0.140962 51.5228641)",Embassy of the Republic of Liberia,Consulate,
"POINT (-0.1697734 51.5003835)",Libyan Consulate - القنصلية الليبية,Consulate,
"POINT (-0.1540681 51.5024404)",Embassy of Libya,Consulate,
"POINT (-0.1308439 51.4895478)",Embassy of Lithuania,Consulate,
"POINT (-0.1545864 51.5010177)",Luxembourg Embassy,Consulate,
"POINT (-0.1624666 51.5009542)",Embassy of Madagascar,Consulate,
"POINT (-0.114728 51.5214852)",Malawi High Commission,Consulate,
"POINT (-0.1526167 51.5000471)",Malaysian High Commission,Consulate,
"POINT (-0.1529204 51.52161040000001)",Embassy of the Maldives,Consulate,
"POINT (-0.1374233 51.5091568)",Malta High Commission,Consulate,
"POINT (-0.1339844 51.4965288)",Embassy of Mauritania - London,Consulate,
"POINT (-0.181763 51.4976034)","High Commission of Mauritius, London",Consulate,
"POINT (-0.1436049 51.513054)",Embassy of Mexico,Consulate,
"POINT (-0.1400533 51.4992262)",Embassy of the Republic of Moldova,Consulate,
"POINT (-0.1536657 51.510636)",Embassy of the Principality of Monaco,Consulate,
"POINT (-0.186897 51.5015384)",Embassy of Mongolia,Consulate,
"POINT (-0.1846732 51.4997356)",Embassy of Montenegro in London,Consulate,
"POINT (-0.1822582 51.49579629999999)",Embassy of Morocco in United Kingdom,Consulate,
"POINT (-0.1409528 51.5230002)",Mozambique High Commission,Consulate,
"POINT (-0.1482832 51.5076232)",Embassy of the Republic of the Union of Myanmar,Consulate,
"POINT (-0.1448218 51.5183887)",Namibia High Commision,Consulate,
"POINT (-0.1907566 51.5074704)",Embassy of Nepal,Consulate,
"POINT (-0.1822386 51.5011065)",Embassy of the Kingdom of the Netherlands,Consulate,
"POINT (-0.1307482 51.508033)",New Zealand High Commission,Consulate,
"POINT (-0.1251889 51.5068935)",Nigeria High Commission,Consulate,
"POINT (-0.1368866 51.493508)",Embassy of the Republic of North Macedonia in Great Britain,Consulate,
"POINT (-0.1529622 51.4980468)",Royal Norwegian Embassy,Consulate,
"POINT (-0.179143 51.4974021)",Embassy of Oman,Consulate,
"POINT (-0.1588824 51.4996152)",High Commission of Pakistan,Consulate,
"POINT (-0.148472 51.5057821)",Embassy of Panama,Consulate,
"POINT (-0.1332253 51.5074988)",Papua New Guinea High Commission,Consulate,
"POINT (-0.1819391 51.4949105)",Embassy of Paraguay,Consulate,
"POINT (-0.1406407 51.49969429999999)",Peruvian Embassy,Consulate,
"POINT (-0.1663808 51.4984437)",Consulate-General of Peru,Consulate,
"POINT (-0.1305968 51.5085105)",Embassy of the Philippines,Consulate,
"POINT (-0.1455802 51.52079060000001)",Embassy of the Republic of Poland,Consulate,
"POINT (-0.1081874 51.513427)",Consular Section of the Embassy of Poland,Consulate,
"POINT (-0.1551683 51.4995738)",Embassy of Portugal,Consulate,
"POINT (-0.1443505 51.5181907)",Consulate General of Portugal,Consulate,
"POINT (-0.1505749 51.5071216)",Embassy of Qatar,Consulate,
"POINT (-0.2269339 51.4946037)",Consulate General of Romania in London,Consulate,
"POINT (-0.1898963 51.5040262)",Embassy of Romania in London,Consulate,
"POINT (-0.1916985 51.5097359)",Embassy of the Russian Federation,Consulate,
"POINT (-0.1633828 51.52014639999999)","High Commission of Rwanda, London",Consulate,
"POINT (-0.1868843 51.5013527)",Saint Kitts and Nevis High Commission,Consulate,
"POINT (-0.1870883 51.4913472)","High Commission of Saint Lucia, London, UK",Consulate,
"POINT (-0.1869661 51.5013714)",High Commission For St Vincent & The Grenadines,Consulate,
"POINT (-0.1477681 51.5070995)","Royal Embassy of Saudi Arabia, London",Consulate,
"POINT (-0.1154882 51.51898930000001)",Embassy of Senegal,Consulate,
"POINT (-0.1526774 51.49827)",Embassy of Serbia,Consulate,
"POINT (-0.1473628 51.4937171)","High Commission of the Seychelles, London",Consulate,
"POINT (-0.1173875 51.5188777)",Sierra Leone High Commission,Consulate,
"POINT (-0.1563071 51.5002638)",Singapore High Commission,Consulate,
"POINT (-0.1929305 51.50930580000001)",Embassy of Slovakia,Consulate,
"POINT (-0.1322606 51.49999099999999)",Embassy of Slovenia,Consulate,
"POINT (-0.2072553 51.4953059)",Somali Embassy London UK,Consulate,
"POINT (-0.1267357 51.5082423)",South African High Commission,Consulate,
"POINT (-0.1563661 51.5169074)","Embassy of Republic of South Sudan, London",Consulate,
"POINT (-0.153638 51.497937)",Embassy of Spain,Consulate,
"POINT (-0.1615423 51.492218)",Spanish Consulate,Consulate,
"POINT (-0.1708261 51.5128071)",Sri Lanka High Commission,Consulate,
"POINT (-0.1385219 51.5048572)",Embassy of Sudan,Consulate,
"POINT (-0.1602435 51.5189065)",Embassy of Sweden,Consulate,
"POINT (-0.160605 51.5186551)",Embassy of Switzerland,Consulate,
"POINT (-0.2111797 51.5132035)",Embassy of Tajikistan,Consulate,
"POINT (-0.1488591 51.5147851)",Tanzania High Commission London,Consulate,
"POINT (-0.1799416 51.4984499)","Embassy of Thailand, London",Consulate,
"POINT (-0.134977 51.4974657)",THE EMBASSY OF TIMOR LESTE,Consulate,
"POINT (-0.1325259 51.56803739999999)",Togo Embassy in London,Consulate,
"POINT (-0.164348 51.5180989)","High Commission of Tonga, London",Consulate,
"POINT (-0.1522799 51.4997351)",High Commission for Trinidad and Tobago,Consulate,
"POINT (-0.174122 51.5015442)",Embassy of Tunisia,Consulate,
"POINT (-0.1524005 51.4998696)",Embassy of Turkey,Consulate,
"POINT (-0.1669648 51.5007971)",Consulate General of Türkiye,Consulate,
"POINT (-0.2096395 51.50588260000001)",Embassy of Turkmenistan,Consulate,
"POINT (-0.1282751 51.50720510000001)",Uganda High Commission,Consulate,
"POINT (-0.2081468 51.5061039)",Embassy of Ukraine,Consulate,
"POINT (-0.2021734 51.5123194)",Consulate of Ukraine,Consulate,
"POINT (-0.1540823 51.5003852)",Embassy of the United Arab Emirates,Consulate,
"POINT (-0.1322369 51.4825655)","U.S. Embassy, London",Consulate,
"POINT (-0.1663808 51.4984437)",Embassy of Uruguay - London. NO es sitio oficial,Consulate,
"POINT (-0.2051807 51.5065225)",Embassy of Uzbekistan,Consulate,
"POINT (-0.1737509 51.4955665)",Embassy of Venezuela,Consulate,
"POINT (-0.1379948 51.523595)",Consulate of Venezuela,Consulate,
"POINT (-0.1856501 51.4995205)",Embassy of Vietnam,Consulate,
"POINT (-0.1786521 51.4951017)","Embassy of the Republic of Yemen, London",Consulate,
"POINT (-0.1836757 51.500698)",High Commission for the Republic of Zambia,Consulate,
"POINT (-0.123963 51.50950779999999)",Embassy of Zimbabwe.,Consulate,
"POINT (-0.1487228 51.5120957)",Consulate of Argentina,Consulate,
